Timestamp,Jenis Kelamin,Usia,Seberapa sering anda menggunakan fitur Tiktok Shop?,Sistem pengumpulan poin atau level pada TikTok Shop sudah adil. ,Informasi mengenai syarat kenaikan poin atau level pada TikTok Shop sudah jelas dan transparan. ,Saya memahami mekanisme pengumpulan poin atau peningkatan level di TikTok Shop. ,Sistem pemberian poin atau level pada TikTok Shop dapat dipercaya. ,Perolehan poin atau level pada TikTok Shop sesuai dengan aktivitas yang saya lakukan. ,Saya merasa tertantang saat menyelesaikan target atau misi harian di TikTok Shop.,"Durasi terbatas pada Flash Sale di TikTok Shop meningkatkan rasa tantangan dalam
berbelanja.",Saya merasa tertantang untuk bersaing dengan penonton lain dalam memperoleh produk saat sesi Live Shopping di TikTok Shop.,Saya merasa tertantang untuk terus menonton Live Shopping di TikTok Shop.,Saya merasa tertantang saat mengikuti event campaign (misalnya event tanggal kembar) di TikTok Shop.,Aktivitas seperti Flash Sale di TikTok Shop membuat pengalaman saya menjadi lebih menyenangkan.,Saya merasa terhibur saat berinteraksi dengan fitur Live Shopping di TikTok Shop.,Aktivitas berburu promo di TikTok Shop membuat saya merasa lebih antusias.,"Aktivitas di TikTok Shop terasa sebagai hiburan, bukan sekadar kegiatan berbelanja. ",Proses mengumpulkan voucher atau reward di TikTok Shop memberikan kesenangan bagi saya.,Saya sering menggunakan TikTok Shop.,Kemudahan dalam mencari barang di TikTok Shop membuat saya lebih sering menggunakannya.,Tampilan TikTok Shop mendorong saya untuk kembali menggunakan aplikasi.,Promo atau diskon di TikTok Shop meningkatkan frekuensi penggunaan saya.,Fitur reward di TikTok Shop mendorong saya untuk terus menggunakan aplikasi.
14/04/2026 0:29:48,Perempuan,< 18 tahun,Beberapa kali,3,3,3,3,3,3,4,3,4,4,4,4,4,4,3,4,4,4,4,3
14/04/2026 0:31:55,Perempuan,18-22 tahun,Beberapa kali,3,3,1,3,3,2,1,1,3,1,3,2,1,1,1,2,3,2,4,1
14/04/2026 0:33:49,Laki-laki,18-22 tahun,Beberapa kali,4,5,4,4,5,5,5,5,5,5,5,4,4,3,3,3,5,5,4,4
14/04/2026 0:34:50,Laki-laki,> 27 tahun,Jarang,3,2,3,3,2,3,3,3,3,3,4,4,3,4,3,3,3,3,4,4
14/04/2026 0:34:51,Laki-laki,18-22 tahun,Beberapa kali,4,3,4,4,4,4,5,5,3,5,5,4,5,4,4,3,3,4,5,3
14/04/2026 0:48:25,Perempuan,18-22 tahun,Beberapa kali,4,4,4,4,4,5,3,4,3,4,4,3,4,4,4,3,4,4,4,4
14/04/2026 5:07:41,Laki-laki,> 27 tahun,Setiap hari,4,2,2,3,3,2,4,2,3,4,4,4,4,4,4,3,2,4,4,2
14/04/2026 5:33:22,Perempuan,> 27 tahun,Jarang,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
14/04/2026 5:43:49,Perempuan,18-22 tahun,Beberapa kali,3,3,2,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,4,3
14/04/2026 5:54:42,Perempuan,> 27 tahun,Setiap hari,3,3,3,4,4,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5
14/04/2026 6:25:21,Perempuan,> 27 tahun,Setiap hari,3,3,4,4,3,3,4,3,2,3,5,4,4,5,4,5,5,4,4,3
14/04/2026 6:35:10,Perempuan,> 27 tahun,Jarang,3,3,3,3,3,3,4,2,2,2,4,3,3,3,3,2,3,3,3,3
14/04/2026 6:47:00,Perempuan,18-22 tahun,Setiap hari,5,3,3,5,5,5,4,2,4,4,4,4,4,4,4,4,4,4,4,4
14/04/2026 6:57:31,Perempuan,18-22 tahun,Setiap hari,5,5,3,3,3,2,3,4,3,3,3,3,3,5,3,3,4,3,3,3
14/04/2026 7:04:20,Perempuan,18-22 tahun,Beberapa kali,3,4,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4
14/04/2026 7:10:24,Perempuan,18-22 tahun,Beberapa kali,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1
14/04/2026 7:37:11,Perempuan,> 27 tahun,Jarang,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,2,2,2,3,3
14/04/2026 7:40:22,Perempuan,> 27 tahun,Setiap hari,3,4,3,3,3,3,4,4,3,4,4,4,4,4,3,3,3,3,4,3
14/04/2026 7:43:24,Perempuan,> 27 tahun,Jarang,3,3,4,4,4,3,4,3,3,4,4,3,4,3,4,2,2,3,4,4
14/04/2026 7:48:26,Perempuan,> 27 tahun,Beberapa kali,3,3,1,3,4,1,3,3,4,3,3,3,3,4,3,3,4,3,5,3
14/04/2026 8:18:19,Perempuan,> 27 tahun,Beberapa kali,3,3,4,4,4,2,3,3,3,3,3,4,4,4,3,4,3,3,3,2
14/04/2026 8:21:26,Perempuan,> 27 tahun,Setiap hari,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
