Nama Pengguna,Rating,Ulasan,Tanggal
Onesiu Soares,5,"aplikasi ini sangat bagus dan saya suka,banyak orang yang mamakai nya",2026-07-06 11.21.47
ece Nakar,5,I love you❤️ tiktok,2026-07-06 09.16.10
Agisty Paya,5,Bantu aku untuk instal tiktok,2026-07-06 02.53.56
Einit Law,5,Mengapa tik tok sekarang terlalu banyak peraturan dan pelanggaran,2026-07-05 21.53.33
Ngartika,4,susah dibuka,2026-07-05 16.29.23
Anamaria De jesus,5,"sekarang aplikasi tiktok nya udah lebih bagus,saya saranin untuk lebih memaksimalkan kedepannya",2026-07-05 13.13.30
Anto Dearaujo,4,menghibur,2026-07-05 02.45.39
Herman Susanto,1,"Seharusnya saat mode gelap dan terang semua bagian bisa berubah dari hitam dan putih, begitu juga sebaliknya, sehingga tidak membuat layar Amoled rentan burn in.",2026-07-04 11.32.14
Arvino xavier mikail faeyza budi,1,hati hati kalo hp kalian 1gb ngeleg sampe bunyi kang cukur,2026-07-04 11.01.45
Julmira Orginda amaral,5,the besth,2026-07-03 16.07.01
Natali Sinaga,5,pokok nya saya blm move on dari dia. saya kenal dia dari tahun 2024 🥺♥️♥️♥️♥️,2026-07-03 12.33.17
Angelina Fernandes,1,Mozalia👌,2026-07-03 12.27.14
imam Fatkhuroji,1,Bagus,2026-07-03 07.32.44
BOaventura Cs,5,😍,2026-07-02 18.23.13
Soares Jerman,5,bagus banget buat editan foto dengan capcut edit tiktok bagus banget 😍😍😍😍😍,2026-07-02 11.59.34
Nori Amaral,3,tolong ini kok gak bisa ya ganti tangal lahir saya mau ganti tangal lahir malah gk bisa🫩,2026-07-01 10.33.39
Raffi Kiran123,3,nice,2026-07-01 06.03.33
Nur Hayaty,5,bagus sih bisa foto live,2026-07-01 00.16.22
Aurea Santos de Jesus,5,Good,2026-06-30 23.35.38
Remijio Da costa,5,bagus sekali 👍🏻,2026-06-30 15.08.04
Garry Lessa22,5,puas bangat😉,2026-06-30 12.06.49
Jaime Hadiran,5,Saya sangat suka,2026-06-30 05.22.42
